target_col,feature_label,split_type,split_id,model_name,task_type,n,p,n_train,n_test,selected_hyperparameters,hyperparameter_tuning_enabled,hyperparameter_tuning_metric,eval_group,frontier_idx,segment_min,segment_max,segments_included,data_size_n,test_segment,test_spearman,test_pearson,test_r2,test_mae,test_rmse,train_spearman,train_pearson,train_r2,train_mae,train_rmse
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,0,ridge,regression,651,1281,520,131,"{""alpha"": 2.555151394803624, ""max_iter"": 1000}",True,spearman,all_data,,,,,651,,0.4863,0.8752,0.7515,3.4819,4.2882,0.6444,0.9007,0.8024,3.1361,3.8283
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,1,ridge,regression,651,1281,521,130,"{""alpha"": 2.555151394803624, ""max_iter"": 1000}",True,spearman,all_data,,,,,651,,0.57,0.8613,0.7404,3.1286,4.1255,0.6357,0.9049,0.8092,3.1256,3.816
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,2,ridge,regression,651,1281,521,130,"{""alpha"": 2.555151394803624, ""max_iter"": 1000}",True,spearman,all_data,,,,,651,,0.6402,0.9097,0.8124,3.4167,4.0947,0.6301,0.8917,0.7848,3.148,3.8867
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,3,ridge,regression,651,1281,521,130,"{""alpha"": 2.555151394803624, ""max_iter"": 1000}",True,spearman,all_data,,,,,651,,0.6231,0.8898,0.7774,3.2553,3.8634,0.6206,0.9003,0.801,3.1469,3.8896
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,4,ridge,regression,651,1281,521,130,"{""alpha"": 2.555151394803624, ""max_iter"": 1000}",True,spearman,all_data,,,,,651,,0.5928,0.8876,0.7764,3.3434,4.058,0.6211,0.8981,0.7975,3.1593,3.8803
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,0,mlp_pytorch,regression,651,1281,520,131,"{""batch_size"": 8, ""device"": ""cpu"", ""hidden_size"": 80, ""learning_rate"": 0.00014653521030672147, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,651,,0.5638,0.9148,0.8325,2.854,3.5201,0.6713,0.9239,0.8528,2.7421,3.3039
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,1,mlp_pytorch,regression,651,1281,521,130,"{""batch_size"": 8, ""device"": ""cpu"", ""hidden_size"": 80, ""learning_rate"": 0.00014653521030672147, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,651,,0.5685,0.8965,0.7962,2.811,3.6546,0.6161,0.9198,0.8455,2.8746,3.4331
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,2,mlp_pytorch,regression,651,1281,521,130,"{""batch_size"": 8, ""device"": ""cpu"", ""hidden_size"": 80, ""learning_rate"": 0.00014653521030672147, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,651,,0.6748,0.9369,0.877,2.8717,3.3149,0.6473,0.9162,0.8382,2.7317,3.3709
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,3,mlp_pytorch,regression,651,1281,521,130,"{""batch_size"": 8, ""device"": ""cpu"", ""hidden_size"": 80, ""learning_rate"": 0.00014653521030672147, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,651,,0.6473,0.9153,0.8276,2.8206,3.4004,0.6562,0.9246,0.8546,2.6761,3.3248
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,4,mlp_pytorch,regression,651,1281,521,130,"{""batch_size"": 8, ""device"": ""cpu"", ""hidden_size"": 80, ""learning_rate"": 0.00014653521030672147, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,651,,0.6213,0.9141,0.8337,2.9396,3.4998,0.6131,0.9173,0.841,2.8107,3.4383
